編號,案類,發生(現)日期,發生時段,發生(現)地點
756,自行車竊盜,1060110,19~21,台北市大安區住安里信義路4段1 ~ 30號捷運大安站4號出口
757,自行車竊盜,1060112,04~06,台北市大安區仁慈里復興南路1段279巷1 ~ 30號
758,自行車竊盜,1060116,04~06,台北市大安區錦泰里金華街102巷
759,自行車竊盜,1060116,07~09,台北市士林區德華里福國路61 ~ 90號
760,自行車竊盜,1060117,10~12,台北市文山區萬和里溪洲街萬隆街口
761,自行車竊盜,1060117,10~12,台北市大同區至聖里承德路3段241 ~ 270號
762,自行車竊盜,1060117,10~12,台北市文山區萬年里汀州路4段105巷
763,自行車竊盜,1060118,07~09,台北市大安區全安里安和路2段211 ~ 240號
764,自行車竊盜,1060118,07~09,台北市大安區芳和里基隆路2段291巷
765,自行車竊盜,1060119,16~18,台北市大安區華聲里光復南路72巷61 ~ 90號
766,自行車竊盜,1060121,07~09,台北市北投區稻香里中央北路2段271 ~ 300號
767,自行車竊盜,1060122,07~09,台北市信義區三犁里信義路5段象山捷運站1 ~ 30號出口
768,自行車竊盜,1060123,07~09,台北市大同區大有里民樂街121 ~ 150號
769,自行車竊盜,1060123,16~18,台北市內湖區內湖路1段360巷1 ~ 30號
770,自行車竊盜,1060123,16~18,台北市北投區大同里清江路61 ~ 90號
771,自行車竊盜,1060124,13~15,台北市文山區景慶里羅斯福路6段211 ~ 240號
772,自行車竊盜,1060124,19~21,台北市士林區德行里福國路31 ~ 60號芝山捷運站1號出口
773,自行車竊盜,1060125,07~09,台北市大安區基隆路與和平東路口六張犁捷運站出口前
774,自行車竊盜,1060131,04~06,台北市中山區新生北路2段68巷1 ~ 30號
775,自行車竊盜,1060202,22~24,台北市中山區龍江路370巷31 ~ 60號
776,自行車竊盜,1060203,13~15,台北市文山區景華里景興路31 ~ 60號
777,自行車竊盜,1060205,13~15,台北市文山區景華里景中街22巷旁
778,自行車竊盜,1060206,22~24,台北市文山區萬隆里景隆街1 ~ 30號
779,自行車竊盜,1060207,10~12,台北市中正區市民大道路3段1 ~ 30號
780,自行車竊盜,1060208,07~09,台北市中山區安東街16巷1 ~ 30號
781,自行車竊盜,1060208,19~21,台北市大安區古風里辛亥路1段91 ~ 120號
782,自行車竊盜,1060209,04~06,台北市文山區明義里016鄰興隆路4段107巷31 ~ 60號
783,自行車竊盜,1060211,13~15,台北市中正區東門里中山南路1 ~ 30號
784,自行車竊盜,1060212,13~15,台北市文山區景慶里羅斯福路6段181 ~ 210號
785,自行車竊盜,1060213,10~12,台北市文山區景慶里景福街211 ~ 240號
786,自行車竊盜,1060214,16~18,台北市大安區龍生里復興南路2段211 ~ 240號
787,自行車竊盜,1060215,10~12,台北市大安區永康里信義路2段151 ~ 180號
788,自行車竊盜,1060215,19~21,台北市文山區萬有里羅斯福路6段91 ~ 120號
789,自行車竊盜,1060217,04~06,台北市中正區水源里羅斯福路4段136巷6弄1 ~ 30號
790,自行車竊盜,1060218,10~12,台北市信義區永春里忠孝東路5段後山埤捷運站1 ~ 30號出口
791,自行車竊盜,1060218,10~12,台北市南港區玉成公園旁玉成公園旁
792,自行車竊盜,1060218,10~12,台北市松山區南京東路5段123巷8弄31 ~ 60號
793,自行車竊盜,1060218,19~21,台北市大安區龍圖里建國南路2段大安森林公園1 ~ 30號出口
794,自行車竊盜,1060219,13~15,台北市萬華區廣州街209巷1 ~ 30號
795,自行車竊盜,1060220,16~18,台北市南港區三重里捷運南港展覽館站1 ~ 30號出口
796,自行車竊盜,1060221,01~03,台北市信義區國業里虎林街222巷31 ~ 60號
797,自行車竊盜,1060222,01~03,台北市中正區螢圃里汀州路2段61 ~ 90號
798,自行車竊盜,1060222,04~06,台北市信義區黎平里富陽街21巷18弄1 ~ 30號
